District,Ward,Ward_Match_Groundtruthed_Shapefile,Village,Village_Match_2012_Shapefile,Village_Match_Groundtruthed_Shapefile,Population
Tarime,Susuni,Susuni,Matamankwe,Matamankwe,Matamankwe,2114
Tarime,Susuni,Susuni,Nyabirongo,Nyabirongo,Nyabirongo,2157
Tarime,Susuni,Susuni,Kiongera,Kiongeza,Kiongeza,2197
Tarime,Susuni,Susuni,Keroti,Keroti,Keroti,1559
Tarime,Susuni,Susuni,Kikomori,Kikomori,Kikomori,2353
Tarime,Mwema,Mwema,Nyamohonda,Nyamohonda,Nyamohonda,2791
Tarime,Mwema,Mwema,Kubiterere,Kubiterere,Kubiterere,2774
Tarime,Mwema,Mwema,Nyakangara,Nyakangara,Nyakangara,867
Tarime,Mwema,Mwema,Korotambe,Korotambe,Korotambe,3771
Tarime,Sirari,Sirari,Mpakani,Mpakani,Mpakani,6443
Tarime,Sirari,Sirari,Sokoni,Sokoni,Sokoni,4892
Tarime,Sirari,Sirari,Kanisani,Kanisani,Kanisani,2492
Tarime,Sirari,Sirari,Buriba,Buriba,Buriba,2090
Tarime,Pemba,Pemba,Kyoruba,Kyoruba,Kyoruba,3170
Tarime,Pemba,Pemba,Pemba,Pemba,Pemba,2972
Tarime,Pemba,Pemba,Nyabisanga,Nyabisaga,Nyabisaga,4702
Tarime,Nyakonga,Nyakonga,Kebweye,Kebweye,Kebweye,2574
Tarime,Nyakonga,Nyakonga,Magoto,Magoto,Magoto,1767
Tarime,Nyakonga,Nyakonga,Nyakonga,Nyakonga,Nyakonga,2456
Tarime,Nyarero,Nyarero,Rosana,Rosana,Rosana,1644
Tarime,Nyarero,Nyarero,Soroneta,Soroneta,Soroneta,2867
Tarime,Nyarero,Nyarero,Kemakorere,Kemakorere,Kemakorere,5027
Tarime,Nyarero,Nyarero,Nyarero,Nyarero,Nyarero,2793
Tarime,Nyamwaga,Nyamwaga,Kimusi,Kimusi,Kimusi,4714
Tarime,Nyamwaga,Nyamwaga,Keisangura,Keisangura,Keisangura,3206
Tarime,Nyamwaga,Nyamwaga,Komarera,Komarera,Komarera,1895
Tarime,Nyamwaga,Nyamwaga,Nyamwaga,Nyamwaga,Nyamwaga,4101
Tarime,Muriba,Muriba,Kobori,Kobori,Kobori,2077
Tarime,Muriba,Muriba,Bungurere,Bungurere,Bungurere,2760
Tarime,Muriba,Muriba,Muriba,Muriba,Muriba,2751
Tarime,Muriba,Muriba,Tagare,Tagare,Tagare,3272
Tarime,Nyanungu,Nyanungu,Nyamombara,Nyamombara,Nyamombara,2964
Tarime,Nyanungu,Nyanungu,Mangucha,Mangucha,Mangucha,3303
Tarime,Nyanungu,Nyanungu,Nyandage,Nyandage,Nyandage,2966
Tarime,Nyanungu,Nyanungu,Kegonga,Kegonga,Kegonga,2040
Tarime,Gorong'a,Gorong'a,Masurura,Masusura,Masusura,3897
Tarime,Gorong'a,Gorong'a,Kitawasi,Kitawasi,Kitawasi,2421
Tarime,Gorong'a,Gorong'a,Masanga,Masanga,Masanga,2512
Tarime,Gorong'a,Gorong'a,Kenyamosabi,Kenyamosabi,Kenyamosabi,2232
Tarime,Nyarokoba,Nyarokoba,Gibaso,Gibaso,Gibaso,8355
Tarime,Nyarokoba,Nyarokoba,Musege,Musege,Musege,3939
Tarime,Nyarokoba,Nyarokoba,Genkuru,Genkuru,Genkuru,3376
Tarime,Kemambo,Kemambo,Kewanja,Kewanja,Kewanja,4588
Tarime,Kemambo,Kemambo,Kerende,Kerenge,Kerenge,4149
Tarime,Kemambo,Kemambo,Mrito,Mrito,Mrito,4600
Tarime,Kibasuka,Kibasuka,Weigita,Weigita,Weigita,4388
Tarime,Kibasuka,Kibasuka,Nyarwana,Nyarwana,Nyarwana,5084
Tarime,Kibasuka,Kibasuka,Nyakunguru,Nyakunguru,Nyakunguru,5666
Tarime,Binagi,Binagi,Nyasaricho,Nyasaricho,Nyasaricho,1528
Tarime,Binagi,Binagi,Magoma,Magoma,Magoma,3922
Tarime,Binagi,Binagi,Nyamwingura,Nyamwingura,Nyamwingura,3993
Tarime,Turwa,Turwa,Nkende,Nkende,Nkende,2067
Tarime,Turwa,Turwa,Magena,Magena,Magena,3491
Tarime,Turwa,Turwa,Romori,Romori,Romori,2479
Tarime,Turwa,Turwa,Rebu,Rebu,Rebu,5148
Tarime,Turwa,Turwa,Mturu,Mturu,Mturu,4445
Tarime,Turwa,Turwa,Kenyamanyori,Kenyamori,Kenyamori,4442
Tarime,Turwa,Turwa,Tagota,Tagota,Tagota,5167
Tarime,Bomani,Bomani,Buhemba,Buhemba,Buhemba,522
Tarime,Bomani,Bomani,Biambwi,Biambwi,Biambwi,2121
Tarime,Bomani,Bomani,Mawasiliano,Mawasiliano,Mawasiliano,4500
Tarime,Bomani,Bomani,National Housing,National Housing,National Housing,1608
Tarime,Bomani,Bomani,Anglican,Anglikan,Anglikan,414
Tarime,Nyandoto,Nyandoto,Kemange,Kemange,Kemange,3661
Tarime,Nyandoto,Nyandoto,Gamasara,Gamasara,Gamasara,2911
Tarime,Nyandoto,Nyandoto,Nyandoto,Nyandoto,Nyandoto,1321
Tarime,Matongo,Matongo,Matongo,Matongo,Matongo,4932
Tarime,Matongo,Matongo,Nyangoto,Nyangoto,Nyangoto,14244
Tarime,Manga,Manga,Mtana,Mtana,Mtana,2287
Tarime,Manga,Manga,Kembwi,Kembwi,Kembwi,1554
Tarime,Manga,Manga,Bisarwi,Bisarwi,Bisarwi,3408
Tarime,Bumera,Bumera,Kiterere,Kiterere,Kiterere,1073
Tarime,Bumera,Bumera,Kitenga,Kitenga,Kitenga,3720
Tarime,Bumera,Bumera,Kwisarara,Kwisarara,Kwisarara,2815
Tarime,Bumera,Bumera,Turugeti,Turugeti,Turugeti,1993
Tarime,Komaswa,Komaswa,Sombanyasoko,Sombanyasoko,Sombanyasoko,1162
Tarime,Komaswa,Komaswa,Surubu,Surubu,Surubu,3735
Tarime,Komaswa,Komaswa,Nyamerambaro,Nyamerambaro,Nyamerambaro,1962
Tarime,Kiore,Kiore,Nyagisya,Nyagisya,Nyagisya,2481
Tarime,Kiore,Kiore,Kewamamba,Kewamamba,Kewamamba,2170
Tarime,Kiore,Kiore,Nkerege,Nkerege,Nkerege,3369
Tarime,Sabasaba,Sabasaba,Chambiri,Chambiri,Chambiri,3486
Tarime,Sabasaba,Sabasaba,Songambele,Songambele,Songambele,3403
Tarime,Sabasaba,Sabasaba,Serengeti,Serengeti,Serengeti,1443
Tarime,Sabasaba,Sabasaba,Sabasaba,Sabasaba,Sabasaba,3192
Tarime,Nyamisangura,Nyamisangura,Msati,Msati,Msati,2717
Tarime,Nyamisangura,Nyamisangura,Starehe,Starehe,Starehe,2181
Tarime,Nyamisangura,Nyamisangura,Mwangaza,Mwanga,Mwanga,2575
Tarime,Nyamisangura,Nyamisangura,Msati Highway,Msati Highway,Msati Highway,2971
Tarime,Nyamisangura,Nyamisangura,Ronsoti,Ronsonti,Ronsonti,2298
Tarime,Kentare,Kentare,Ntaburo,Ntaburo,Ntaburo,1870
Tarime,Kentare,Kentare,Nkongore,Nkongore,Nkongore,1726
Tarime,Kentare,Kentare,Mogabiri,Mogabiri,Mogabiri,5879
Tarime,Nyamaranga,Nyamaranga,Gwitiryo,Gwitiryo,Gwitiryo,3343
Tarime,Nyamaranga,Nyamaranga,Gitagasembe,Kitagasembe,Kitagasembe,1803
Tarime,Nyamaranga,Nyamaranga,Remagwe,Remangwe,Remangwe,2980
Tarime,Nyamaranga,Nyamaranga,Ngerengere,Ng'ereng'ere,Ng'ereng'ere,2839
Tarime,Mbogi,Mbogi,Getenga,Getenga,Getenga,3625
Tarime,Mbogi,Mbogi,Borega 'B',Borega B,Borega B,2242
Tarime,Mbogi,Mbogi,Nyabitocho,Nyabitocho,Nyabitocho,2256
Tarime,Genyange,Genyange,Borega 'A',Borega A,Borega A,3386
Tarime,Genyange,Genyange,Nyakalima,Nyakalima,Nyakalima,1437
Tarime,Genyange,Genyange,Genyange,Genyange,Genyange,2630
Tarime,Nyansicha,Nyansicha,Nyantira,Nyantira,Nyantira,4478
Tarime,Nyansicha,Nyansicha,Nyansincha,Nyansicha,Nyansicha,2583
Tarime,Itiryo,Itiryo,Itiryo,Itiryo,Itiryo,3324
Tarime,Itiryo,Itiryo,Nyankoni,Nyankoni,Nyankoni,3238
Tarime,Itiryo,Itiryo,Kangariani,Kangariani,Kangariani,3410
Serengeti,Kenyamonta,Kenyamonta,Hekwe,Hekwe,Hekwe,1901
Serengeti,Kenyamonta,Kenyamonta,Magatini,Magatini,Magatini,584
Serengeti,Kenyamonta,Kenyamonta,Mesaga,Mesaga,Mesaga,2961
Serengeti,Kenyamonta,Kenyamonta,Nyagasense,Nyagasense,Nyagasense,3819
Serengeti,Kenyamonta,Kenyamonta,Kenyamonta,Kenyamonta,Kenyamonta,2071
Serengeti,Busawe,Busawe,Busawe,Busawe,Busawe,1521
Serengeti,Busawe,Busawe,Gantamome,Gentamome,Gantamome,2213
Serengeti,Busawe,Busawe,Nyamehuru,Nyamhuru,Nyamehuru,1798
Serengeti,Kisaka,Kisaka,Nyansurumunti,Nyansurumunti,Nyansurumunti,1883
Serengeti,Kisaka,Kisaka,Buchanchari,Bunchachari,Buchanchari,3725
Serengeti,Kisaka,Kisaka,Nyiboko,Nyiboko,Nyiboko,3566
Serengeti,Kisaka,Kisaka,Borenga,Borenga,Borenga,3361
Serengeti,Kebanchabancha,Kebanchebanche,Musati,Musati,Musati,3432
Serengeti,Kebanchabancha,Kebanchebanche,Sogoti,Sogoti,Sogoti,1904
Serengeti,Kebanchabancha,Kebanchebanche,Kebanchabancha,Kebanchabancha,Kebanchebanche,2905
Serengeti,Ring'wani,Ring'wani,Nyamitita,Nyamitita,Nyamitita,3720
Serengeti,Ring'wani,Ring'wani,Kenyana,Kenyana,Kenyana,3308
Serengeti,Ring'wani,Ring'wani,Ring'wani,Ring'wani,Ring'wani,1757
Serengeti,Rung'abure,Rung'abure,Gesarya,Gesarya,Gesarya,4031
Serengeti,Rung'abure,Rung'abure,Nyamerama,Nyamerama,Nyamerama,1756
Serengeti,Rung'abure,Rung'abure,Rung'abure,Rung'abure,Rung'abure,3911
Serengeti,Machochwe,Machochwe,Machochwe,Machochwe,Machochwe,3917
Serengeti,Machochwe,Machochwe,Nyamakendo,Nyamakendo,Nyamakendo,3999
Serengeti,Machochwe,Machochwe,Manyata,Manyata,Manyata,1955
Serengeti,Kisangura,Kisangura,Kibeyo,Kibeyo,Kibeyo,2133
Serengeti,Kisangura,Kisangura,Kisangura,Kisangura,Kisangura,4043
Serengeti,Kisangura,Kisangura,Kebosongo,Kebosongo,Kebosongo,2330
Serengeti,Mugumu,Mugumu,Sedeco,Sedeco,Sedeco,1598
Serengeti,Mugumu,Mugumu,NHC,Nhc,Nhc,3365
Serengeti,Mugumu,Mugumu,Kyambai,Kyambai,Kyambai,1049
Serengeti,Mugumu,Mugumu,M.c.u,M.C.U,M.C.U,2304
Serengeti,Mugumu,Mugumu,Stendi Mpya,Stendi Mpya,Stendi Mpya,1911
Serengeti,Ikoma,Ikoma,Park Nyigoti,Park Nyigoti,Park Nyigoti,1994
Serengeti,Ikoma,Ikoma,Robanda,Robanda,Robanda,4508
Serengeti,Natta,Natta,Kono,Natta,Kono,1719
Serengeti,Natta,Natta,Natta Mbiso,Natta Mbiso,Mbisso,3479
Serengeti,Natta,Natta,Makundusi,Makundusi,Makundusi,4529
Serengeti,Natta,Natta,Motukeri,Motukeri,Motukeri,3122
Serengeti,Issenye,Issenye,Singisi,Singisi,Singisi,2146
Serengeti,Issenye,Issenye,Iharara,Iharara,Iharara,2292
Serengeti,Issenye,Issenye,Nyiberekera,Nyiberekera,Nyiberekera,3651
Serengeti,Issenye,Issenye,Nyamisingisi,Nyamisingisi,Nyamasingisi,2072
Serengeti,Rigicha,Rigicha,Nyankomogo,Nyankomogo,Nyankomogo,2088
Serengeti,Rigicha,Rigicha,Rigicha,Rigicha,Rigicha,3166
Serengeti,Rigicha,Rigicha,Wagete,Wagete,Wagete,2097
Serengeti,Rigicha,Rigicha,Kitembere,Kitembere,Kitembere,2113
Serengeti,Nyambureti,Nyambureti,Gusuhi,Gusuhi,Gusuhi,3171
Serengeti,Nyambureti,Nyambureti,Kerukerege,Kerukerege,Kerukerege,1598
Serengeti,Nyambureti,Nyambureti,Maburi,Maburi,Maburi,3451
Serengeti,Nyambureti,Nyambureti,Monuna,Monuna,Monuna,2757
Serengeti,Nyambureti,Nyambureti,Nyambureti,Nyambureti,Nyambureti,3181
Serengeti,Nyamoko,Nyamoko,Kwitete,Kwitete,Kwitete,2641
Serengeti,Nyamoko,Nyamoko,Masangura,Masangura,Masangura,2073
Serengeti,Nyamoko,Nyamoko,Itununu,Itununu,Itununu,2250
Serengeti,Nyamoko,Nyamoko,Kerenero,Kerenero,Kerenero,1273
Serengeti,Manchira,Manchira,Bwitengi,Bwitengi,Bwitengi,2217
Serengeti,Manchira,Manchira,Misseke,Misseke,Misseke,2763
Serengeti,Manchira,Manchira,Rwamchanga,Rwamchanga,Rwamchanga,2908
Serengeti,Kyambahi,Kyambahi,Nyanungu,Nyanungu,Nyanungu,2413
Serengeti,Kyambahi,Kyambahi,Nyichoka,Nyichoka,Nyichoka,2930
Serengeti,Kyambahi,Kyambahi,Bokore,Bokore,Bokore,1679
Serengeti,Nyamatare,Nyamatare,Kemgesi,Kemgesi,Kemgesi,2748
Serengeti,Nyamatare,Nyamatare,Nyirongo,Nyirongo,Nyirongo,947
Serengeti,Nyamatare,Nyamatare,Nyamatare,Nyamatare,Nyamatare,1781
Serengeti,Majimoto,Majimoto,Majimoto,Majimoto,Majimoto,3197
Serengeti,Majimoto,Majimoto,Nyamakobiti,Nyamakobiti,Nyamakobiti,2919
Serengeti,Majimoto,Majimoto,Iseresere,Iseresere,Iseresere,2419
Serengeti,Magange,Magange,Masinki,Masinki,Masinki,2665
Serengeti,Magange,Magange,Magange,Magange,Magange,1831
Serengeti,Magange,Magange,Remung'orori,Remung'orori,Remung'orori,2766
Serengeti,Nyansurura,Nyansurura,Marasomoche,Marasomoche,Marasomoche,1404
Serengeti,Nyansurura,Nyansurura,Nyansurura,Nyansurura,Nyansurura,2377
Serengeti,Nyansurura,Nyansurura,Merenga,Merenga,Merenga,3554
Serengeti,Nyansurura,Nyansurura,Kitarungu,Kitarungu,Kitarungu,2794
Serengeti,Mosongo,Mosongo,Nyamatoke,Nyamatoke,Nyamatoke,3187
Serengeti,Mosongo,Mosongo,Kenokwe,Kenokwe,Kenokwe,4076
Serengeti,Mosongo,Mosongo,Mosongo,Mosongo,Mosongo,4355
Serengeti,Sedeco,Sedeco,Nyambori,Nyamburi,Nyamburi,2748
Serengeti,Sedeco,Sedeco,Bisarara,Bisarara,Bisarara,2816
Serengeti,Sedeco,Sedeco,Mbirikili,Mbirikili,Mbirikiri,2074
Serengeti,Sedeco,Sedeco,Bonchugu,Bonchugu,Bonchugu,3798
Serengeti,Mbalibali,Mbalibali,Koreri,Koreri,Koreri,2898
Serengeti,Mbalibali,Mbalibali,Kitunguruma,Kitunguruma,Kitunguruma,3405
Serengeti,Mbalibali,Mbalibali,Mbalibali,Mbalibali,Mbalibali,2431
Serengeti,Mbalibali,Mbalibali,Tamkeri,Tamkeri,Tamkeri,2656
Serengeti,Stendi Kuu,Stendi Kuu,Bomani,Bomani,Bomani,3245
Serengeti,Stendi Kuu,Stendi Kuu,Chamoto,Chamoto,Chamoto,3380
Serengeti,Geitasamo,Geitasamo,Nyamoko,Nyamoko,Nyamoko,2467
Serengeti,Geitasamo,Geitasamo,Kegonga,Kegonga,Kegonga,1824
Serengeti,Geitasamo,Geitasamo,Matare,Matare,Matare,1229
Serengeti,Morotonga,Morotonga,Morotonga,Morotonga,Morotonga,4108
Serengeti,Uwanja wa Ndege,Uwanja wa Ndege,Burunga,Burunga,Burunga,2509
Serengeti,Uwanja wa Ndege,Uwanja wa Ndege,Kyambahi,Kyambahi,Kyambahi,1271
Serengeti,Uwanja wa Ndege,Uwanja wa Ndege,Ngarawani,Ngarawani,Ngarawani,2530
Musoma,Bukumi,Bukumi,Buraga,Buraga,Buraga,2977
Musoma,Bukumi,Bukumi,Bukumi,Bukumi,Bukumi,3173
Musoma,Bukumi,Bukumi,Busekera,Busekera,Busekera,5947
Musoma,Makojo,Makojo,Chimati,Chimati,Chimati,2889
Musoma,Makojo,Makojo,Makojo,Makojo,Makojo,2696
Musoma,Makojo,Makojo,Chitare,Chitare,Chitare,4063
Musoma,Bwasi,Bwasi,Kome,Kome,Kome,4405
Musoma,Bwasi,Bwasi,Bugunda,Bugunda,Bugunda,3971
Musoma,Bwasi,Bwasi,Bwasi,Bwasi,Bwasi,3340
Musoma,Bulinga,Bulinga,Bulinga,Bulinga,Bulinga,2182
Musoma,Bulinga,Bulinga,Bujaga,Bujaga,Bujaga,2269
Musoma,Bulinga,Bulinga,Busungu,Busungu,Busungu,1917
Musoma,Bukima,Bukima,Bukima,Bukima,Bukima,4978
Musoma,Bukima,Bukima,Butata,Butata,Butata,5889
Musoma,Bukima,Bukima,Buanga,Buanga,Buanga,3193
Musoma,Bukima,Bukima,Rusoli,Rujoli,Rujoli,3420
Musoma,Bukima,Bukima,Kwikerege,Kwikerege,Kwikerege,1058
Musoma,Murangi,Murangi,Lyasembe,Lyasembe,Lyasembe,3312
Musoma,Murangi,Murangi,Murangi,Murangi,Murangi,5315
Musoma,Murangi,Murangi,Musanja,Musanja,Musanja,5417
Musoma,Murangi,Murangi,Mabuimerafuru,Mabui Merafuru,Mabui Merafuru,2889
Musoma,Bugwema,Bugwema,Bugwema,Bugwema,Bugwema,2934
Musoma,Bugwema,Bugwema,Masinono,Masinono,Masinono,5828
Musoma,Bugwema,Bugwema,Muhoji,Muhoji,Muhoji,2489
Musoma,Nyamrandirira,Nyamrandirira,Chumwi,Chumwi,Chumwi,3121
Musoma,Nyamrandirira,Nyamrandirira,Kaboni,Kaboni,Kaboni,1516
Musoma,Nyamrandirira,Nyamrandirira,Kasoma,Kasoma,Kasoma,3251
Musoma,Nyamrandirira,Nyamrandirira,Seka,Seka,Seka,4179
Musoma,Nyamrandirira,Nyamrandirira,Mikuyu,Mikuyu,Mikuyu,1637
Musoma,Nyambono,Nyambono,Nyambono,Nyambono,Nyambono,4716
Musoma,Nyambono,Nyambono,Saragana,Sapagana,Sapagana,4948
Musoma,Nyambono,Nyambono,Bugoji,Bugoji,Bugoji,5870
Musoma,Nyambono,Nyambono,Kaburabura,Kaburabura,Kaburabura,2572
Musoma,Suguti,Suguti,Suguti,Suguti,Suguti,3467
Musoma,Suguti,Suguti,Kusenyi,Kasenyi,Kasenyi,2450
Musoma,Suguti,Suguti,Chirorwe,Chirorwe,Chirorwe,3453
Musoma,Suguti,Suguti,Wanyere,Wanyere,Wanyere,4358
Musoma,Tegeruka,Tegeruka,Tegeruka,Tegeruka,Tegeruka,2799
Musoma,Tegeruka,Tegeruka,Mayani,Mayani,Mayani,3234
Musoma,Tegeruka,Tegeruka,Kataryo,Kataryo,Kataryo,4668
Musoma,Kiriba,Kiriba,Bwai Kumsoma,Bwai Kumsoma,Bwai Kumsoma,7352
Musoma,Kiriba,Kiriba,Kiriba,Kiriba,Kiriba,4114
Musoma,Kiriba,Kiriba,Bwai Kwitururu,Bwai Kwitururu,Bwai Kwitururu,5271
Musoma,Busambara,Busambara,Kwikuba,Kwikuba,Kwikuba,1609
Musoma,Busambara,Busambara,Maneke,Maneke,Maneke,3939
Musoma,Busambara,Busambara,Mwiringo,Mwiringo,Mwiringo,3158
Musoma,Mugango,Mugango,Kwibara,Kwibara,Kwibara,5494
Musoma,Mugango,Mugango,Nyang'oma,Nyangoma,Nyangoma,2491
Musoma,Mugango,Mugango,Kurwaki,Kurwaki,Kurwaki,2136
Bunda,Nyamuswa,Nyamuswa,Nyamuswa,Nyamuswa,Nyamuswa,3911
Bunda,Nyamuswa,Nyamuswa,Makongoro ''B'',Makongoro B,Makongoro B,1480
Bunda,Nyamuswa,Nyamuswa,Bukama,Bukama,Bukama,2410
Bunda,Nyamuswa,Nyamuswa,M akongoro ''A'',Makongoro A,Makongoro A,1523
Bunda,Salama,Salama,Salama ''A'',Salama A,Salama A,2916
Bunda,Salama,Salama,Salama Kati,Salama Kati,Salama Kati,1937
Bunda,Salama,Salama,Kurusanga,Kurusanga,Kurusanga,4220
Bunda,Mihingo,Mihingo,Mekomariro,Mekomariro,Mekomariro,4583
Bunda,Mihingo,Mihingo,Mahanga,Mahanga,Mahanga,1785
Bunda,Mihingo,Mihingo,Manchimweru,Manchimweru,Manchimweru,3359
Bunda,Mihingo,Mihingo,Mihingo,Mihingo,Mihingo,3435
Bunda,Mugeta,Mugeta,Sanzate,Sanzate,Sanzate,3503
Bunda,Mugeta,Mugeta,Nyang'aranga,Nyang'aranga,Nyang'aranga,4288
Bunda,Mugeta,Mugeta,Tingirima,Tingirima,Tingirima,2473
Bunda,Mugeta,Mugeta,Kyandege,Kyandege,Kyandege,1763
Bunda,Mugeta,Mugeta,Mugeta,Mugeta,Mugeta,2336
Bunda,Hunyari,Hunyari,Mariwanda,Mariwanda,Mariwanda,6559
Bunda,Hunyari,Hunyari,Kihumbu,Kihumbu,Kihumbu,3458
Bunda,Hunyari,Hunyari,Hunyari,Hunyari,Hunyari,4552
Bunda,Mcharo,Mcharo,Mcharo,Mcharo,Mcharo,1567
Bunda,Mcharo,Mcharo,Kisangwa,Kisangwa,Kisangwa,1647
Bunda,Mcharo,Mcharo,Changuge,Changuge,Changuge,2265
Bunda,Mcharo,Mcharo,Nyamatoke,Nyamatoke,Nyamatoke,2343
Bunda,Mcharo,Mcharo,Mihale,Mihale,Mihale,2294
Bunda,Sazira,Sazira,Kitaramaka,Kitaramaka,Kitaramaka,2378
Bunda,Sazira,Sazira,Sazira,Sazira,Sazira,2097
Bunda,Sazira,Sazira,Misisi,Misisi,Misisi,3434
Bunda,Sazira,Sazira,Ligamba ''B'',Ligamba B,Ligamba B,2894
Bunda,Kunzugu,Kunzugu,Serengeti,Serengeti,Serengeti,1454
Bunda,Kunzugu,Kunzugu,Nyatwali,Nyatwali,Nyatwali,2466
Bunda,Kunzugu,Kunzugu,Tamau,Tamau,Tamau,2143
Bunda,Kunzugu,Kunzugu,Kuzungu,Kunzugu,Kunzugu,2736
Bunda,Kunzugu,Kunzugu,Bukore,Bukore,Bukore,2449
