"District","Ward","Village","Vaccination.Date","Dogs.Vaccinated","Cats.Vaccinated"
"Serengeti","Nyansurura","Merenga",2003-06-22,129,0
"Serengeti","Sedeco","Bisarara",2003-07-15,147,0
"Serengeti","Sedeco","Bonchugu",2003-07-15,188,0
"Serengeti","Uwanja wa Ndege","Burunga",2003-07-15,159,0
"Serengeti","Manchira","Bwitengi",2003-07-15,67,0
"Serengeti","Issenye","Iharara",2003-07-15,37,0
"Serengeti","Kisangura","Kebosongo",2003-07-15,96,0
"Serengeti","Kisangura","Kibeyo",2003-07-15,90,0
"Serengeti","Kisangura","Kisangura",2003-07-15,125,0
"Serengeti","Rigicha","Kitembere",2003-07-15,126,0
"Serengeti","Geitasamo","Matare",2003-07-15,172,0
"Serengeti","Natta","Makundusi",2003-08-14,20,0
"Serengeti","Natta","Kono",2003-08-15,84,0
"Serengeti","Mbalibali","Koreri",2003-08-15,83,0
"Serengeti","Kyambahi","Kyambahi",2003-08-15,93,0
"Serengeti","Machochwe","Machochwe",2003-08-15,242,0
"Serengeti","Nyansurura","Marasomoche",2003-08-15,166,0
"Serengeti","Mbalibali","Mbalibali",2003-08-15,271,0
"Serengeti","Natta","Mbisso",2003-08-15,54,0
"Serengeti","Manchira","Misseke",2003-08-15,31,0
"Serengeti","Morotonga","Morotonga",2003-08-15,223,0
"Serengeti","Mosongo","Mosongo",2003-08-15,132,0
"Serengeti","Natta","Motukeri",2003-08-15,76,0
"Serengeti","Mugumu","Mugumu",2003-08-15,528,0
"Serengeti","Machochwe","Nyamakendo",2003-08-15,64,0
"Serengeti","Issenye","Nyamasingisi",2003-08-15,96,0
"Serengeti","Sedeco","Nyamburi",2003-08-15,128,0
"Serengeti","Nyansurura","Nyansurura",2003-08-15,133,0
"Serengeti","Issenye","Nyiberekera",2003-08-15,157,0
"Serengeti","Kyambahi","Nyichoka",2003-08-15,122,0
"Serengeti","Ikoma","Park Nyigoti",2003-08-15,53,0
"Serengeti","Ikoma","Robanda",2003-08-15,3,0
"Serengeti","Manchira","Rwamchanga",2003-08-15,79,0
"Serengeti","Issenye","Singisi",2003-08-15,25,0
"Serengeti","Kisaka","Borenga",2004-06-07,221,0
"Serengeti","Issenye","Iharara",2004-06-07,79,0
"Serengeti","Issenye","Nyamasingisi",2004-06-07,99,0
"Serengeti","Issenye","Nyiberekera",2004-06-07,140,0
"Serengeti","Kisaka","Nyiboko",2004-06-07,105,0
"Serengeti","Issenye","Singisi",2004-06-07,90,0
"Serengeti","Kisaka","Buchanchari",2004-06-08,265,0
"Serengeti","Natta","Makundusi",2004-06-08,90,0
"Serengeti","Natta","Mbisso",2004-06-08,144,0
"Serengeti","Natta","Motukeri",2004-06-08,131,3
"Serengeti","Kisaka","Nyansurumunti",2004-06-08,184,0
"Serengeti","Uwanja wa Ndege","Burunga",2004-06-09,254,0
"Serengeti","Busawe","Busawe",2004-06-09,194,0
"Serengeti","Busawe","Gantamome",2004-06-09,189,0
"Serengeti","Mosongo","Mosongo",2004-06-09,255,0
"Serengeti","Kyambahi","Nyichoka",2004-06-09,169,0
"Serengeti","Manchira","Bwitengi",2004-06-10,97,0
"Serengeti","Majimoto","Iseresere",2004-06-10,107,0
"Serengeti","Majimoto","Nyamakobiti",2004-06-10,276,0
"Serengeti","Ikoma","Park Nyigoti",2004-06-10,76,0
"Serengeti","Ikoma","Robanda",2004-06-10,18,0
"Serengeti","Kenyamonta","Magatini",2004-06-11,216,0
"Serengeti","Majimoto","Majimoto",2004-06-11,245,0
"Serengeti","Manchira","Misseke",2004-06-11,111,1
"Serengeti","Manchira","Rwamchanga",2004-06-11,76,0
"Serengeti","Kisangura","Kebosongo",2004-06-14,151,0
"Serengeti","Kenyamonta","Mesaga",2004-06-14,193,0
"Serengeti","Morotonga","Morotonga",2004-06-14,280,0
"Serengeti","Kenyamonta","Nyagasense",2004-06-14,373,0
"Serengeti","Kenyamonta","Kenyamonta",2004-06-15,281,0
"Serengeti","Kisangura","Kibeyo",2004-06-15,145,0
"Serengeti","Magange","Remung'orori",2004-06-15,346,0
"Serengeti","Sedeco","Bonchugu",2004-06-16,208,0
"Serengeti","Kisangura","Kisangura",2004-06-16,215,0
"Serengeti","Magange","Magange",2004-06-16,277,0
"Serengeti","Magange","Masinki",2004-06-16,369,0
"Serengeti","Nyamatare","Kemgesi",2004-06-17,248,0
"Serengeti","Mbalibali","Kitunguruma",2004-06-17,293,1
"Serengeti","Machochwe","Nyamakendo",2004-06-17,255,0
"Serengeti","Ring'wani","Ring'wani",2004-06-17,223,0
"Serengeti","Mbalibali","Koreri",2004-06-18,110,1
"Serengeti","Kyambahi","Kyambahi",2004-06-18,84,0
"Serengeti","Nyambureti","Maburi",2004-06-18,311,0
"Serengeti","Nyambureti","Monuna",2004-06-18,134,0
"Serengeti","Sedeco","Bisarara",2004-06-21,162,0
"Serengeti","Nyambureti","Gusuhi",2004-06-21,198,0
"Serengeti","Nyambureti","Nyambureti",2004-06-21,134,0
"Serengeti","Sedeco","Nyamburi",2004-06-21,265,0
"Serengeti","Machochwe","Machochwe",2004-06-22,287,0
"Serengeti","Nyansurura","Merenga",2004-06-22,240,0
"Serengeti","Nyamatare","Nyamatare",2004-06-22,55,0
"Serengeti","Mosongo","Nyamatoke",2004-06-22,155,0
"Serengeti","Nyansurura","Marasomoche",2004-06-23,232,0
"Serengeti","Nyansurura","Nyansurura",2004-06-23,198,0
"Serengeti","Ring'wani","Kenyana",2004-06-24,75,0
"Serengeti","Mugumu","Mugumu",2004-06-24,503,0
"Serengeti","Kebanchebanche","Kebanchebanche",2004-06-25,216,0
"Serengeti","Rigicha","Nyankomogo",2004-06-28,187,0
"Serengeti","Rigicha","Rigicha",2004-06-28,172,0
"Serengeti","Rigicha","Kitembere",2004-06-29,140,0
"Serengeti","Natta","Kono",2004-06-29,98,0
"Serengeti","Rigicha","Wagete",2004-06-29,178,0
"Serengeti","Rung'abure","Gesarya",2004-06-30,240,0
"Serengeti","Rung'abure","Rung'abure",2004-06-30,315,0
"Serengeti","Rung'abure","Nyamerama",2004-07-01,162,0
"Serengeti","Nyamoko","Masangura",2004-07-02,179,0
"Serengeti","Kebanchebanche","Musati",2004-07-02,408,0
"Serengeti","Issenye","Iharara",2005-08-08,149,18
"Serengeti","Issenye","Nyamasingisi",2005-08-08,202,29
"Serengeti","Issenye","Nyiberekera",2005-08-09,229,5
"Serengeti","Issenye","Singisi",2005-08-09,154,4
"Serengeti","Rigicha","Kitembere",2005-08-10,184,0
"Serengeti","Natta","Kono",2005-08-10,107,8
"Serengeti","Natta","Mbisso",2005-08-11,135,16
"Serengeti","Natta","Motukeri",2005-08-11,148,0
"Serengeti","Nyansurura","Merenga",2005-08-12,267,3
"Serengeti","Machochwe","Nyamakendo",2005-08-15,224,2
"Serengeti","Mbalibali","Kitunguruma",2005-08-16,88,10
"Serengeti","Mbalibali","Mbalibali",2005-08-16,140,6
"Serengeti","Kisangura","Kibeyo",2005-08-17,231,21
"Serengeti","Mbalibali","Koreri",2005-08-17,160,0
"Serengeti","Sedeco","Bisarara",2005-08-18,172,0
"Serengeti","Sedeco","Nyamburi",2005-08-19,217,1
"Serengeti","Kisangura","Kebosongo",2005-08-22,167,1
"Serengeti","Manchira","Misseke",2005-08-23,217,4
"Serengeti","Manchira","Rwamchanga",2005-08-23,200,0
"Serengeti","Kyambahi","Nyichoka",2005-08-24,150,6
"Serengeti","Manchira","Bwitengi",2005-08-25,177,7
"Serengeti","Kenyamonta","Kenyamonta",2005-08-25,110,0
"Serengeti","Kenyamonta","Magatini",2005-08-25,110,0
"Serengeti","Kenyamonta","Mesaga",2005-08-25,105,0
"Serengeti","Morotonga","Morotonga",2005-08-25,306,16
"Serengeti","Kenyamonta","Nyagasense",2005-08-25,105,0
"Serengeti","Ikoma","Park Nyigoti",2005-08-26,128,0
"Serengeti","Ikoma","Robanda",2005-08-26,48,0
"Serengeti","Machochwe","Machochwe",2005-08-29,365,13
"Serengeti","Natta","Makundusi",2005-08-29,81,1
"Serengeti","Mosongo","Mosongo",2005-08-29,151,1
"Serengeti","Uwanja wa Ndege","Burunga",2005-08-30,282,8
"Serengeti","Kyambahi","Kyambahi",2005-08-30,112,8
"Serengeti","Geitasamo","Kegonga",2005-08-31,86,4
"Serengeti","Geitasamo","Matare",2005-08-31,222,5
"Serengeti","Sedeco","Bonchugu",2005-09-01,364,1
"Serengeti","Kisangura","Kisangura",2005-09-01,251,21
"Serengeti","Nyansurura","Marasomoche",2005-09-01,164,7
"Serengeti","Nyansurura","Nyansurura",2005-09-01,267,5
"Serengeti","Mugumu","Mugumu",2005-09-02,701,29
"Serengeti","Natta","Makundusi",2006-08-04,188,3
"Serengeti","Issenye","Iharara",2006-08-14,214,12
"Serengeti","Issenye","Nyamasingisi",2006-08-14,219,13
"Serengeti","Issenye","Nyiberekera",2006-08-15,283,13
"Serengeti","Issenye","Singisi",2006-08-15,203,12
"Serengeti","Rigicha","Kitembere",2006-08-16,213,15
"Serengeti","Natta","Kono",2006-08-16,117,1
"Serengeti","Sedeco","Nyamburi",2006-08-17,212,4
"Serengeti","Natta","Mbisso",2006-08-18,273,25
"Serengeti","Natta","Motukeri",2006-08-18,186,11
"Serengeti","Nyansurura","Merenga",2006-08-19,271,7
"Serengeti","Machochwe","Nyamakendo",2006-08-21,209,3
"Serengeti","Mbalibali","Kitunguruma",2006-08-22,213,5
"Serengeti","Mbalibali","Mbalibali",2006-08-22,207,0
"Serengeti","Kisangura","Kibeyo",2006-08-23,178,17
"Serengeti","Mbalibali","Koreri",2006-08-23,173,6
"Serengeti","Sedeco","Bisarara",2006-08-24,106,6
"Serengeti","Sedeco","Bonchugu",2006-08-28,275,6
"Serengeti","Kisangura","Kebosongo",2006-08-28,167,13
"Serengeti","Manchira","Misseke",2006-08-29,159,2
"Serengeti","Manchira","Rwamchanga",2006-08-29,165,1
"Serengeti","Manchira","Bwitengi",2006-08-30,178,0
"Serengeti","Morotonga","Morotonga",2006-08-30,291,5
"Serengeti","Ikoma","Park Nyigoti",2006-08-31,105,5
"Serengeti","Ikoma","Robanda",2006-08-31,4,63
"Serengeti","Geitasamo","Kegonga",2006-09-01,81,1
"Serengeti","Geitasamo","Matare",2006-09-01,175,10
"Serengeti","Machochwe","Machochwe",2006-09-04,219,5
"Serengeti","Mosongo","Mosongo",2006-09-04,287,4
"Serengeti","Kyambahi","Nyichoka",2006-09-05,352,16
"Serengeti","Uwanja wa Ndege","Burunga",2006-09-06,257,15
"Serengeti","Kyambahi","Kyambahi",2006-09-06,142,7
"Serengeti","Nyansurura","Marasomoche",2006-09-07,90,3
"Serengeti","Nyansurura","Nyansurura",2006-09-07,242,5
"Serengeti","Kisangura","Kisangura",2006-09-08,141,5
"Serengeti","Mugumu","Mugumu",2006-09-08,638,14
"Serengeti","Issenye","Iharara",2007-06-25,144,9
"Serengeti","Issenye","Nyamasingisi",2007-06-25,214,20
"Serengeti","Rigicha","Nyankomogo",2007-06-25,152,13
"Serengeti","Rigicha","Rigicha",2007-06-25,117,0
"Serengeti","Kisaka","Borenga",2007-06-26,145,2
"Serengeti","Kisaka","Nyiboko",2007-06-26,94,0
"Serengeti","Issenye","Singisi",2007-06-26,218,38
"Serengeti","Kisaka","Buchanchari",2007-06-27,242,2
"Serengeti","Rigicha","Kitembere",2007-06-27,181,3
"Serengeti","Natta","Kono",2007-06-27,77,2
"Serengeti","Kisaka","Nyansurumunti",2007-06-27,126,34
"Serengeti","Issenye","Nyiberekera",2007-06-27,297,50
"Serengeti","Busawe","Busawe",2007-06-28,54,3
"Serengeti","Busawe","Gantamome",2007-06-28,133,5
"Serengeti","Natta","Mbisso",2007-06-28,295,23
"Serengeti","Natta","Motukeri",2007-06-28,242,12
"Serengeti","Majimoto","Iseresere",2007-06-29,96,5
"Serengeti","Natta","Makundusi",2007-06-29,207,12
"Serengeti","Mosongo","Mosongo",2007-06-29,411,12
"Serengeti","Majimoto","Nyamakobiti",2007-06-29,43,0
"Serengeti","Kenyamonta","Magatini",2007-07-02,0,0
"Serengeti","Nyansurura","Merenga",2007-07-02,301,12
"Serengeti","Machochwe","Machochwe",2007-07-03,312,7
"Serengeti","Kenyamonta","Nyagasense",2007-07-03,0,0
"Serengeti","Machochwe","Nyamakendo",2007-07-03,361,15
"Serengeti","Kenyamonta","Kenyamonta",2007-07-04,0,0
"Serengeti","Mbalibali","Kitunguruma",2007-07-04,194,28
"Serengeti","Mbalibali","Mbalibali",2007-07-04,245,21
"Serengeti","Magange","Remung'orori",2007-07-04,0,0
"Serengeti","Nyamoko","Kwitete",2007-07-05,54,0
"Serengeti","Magange","Magange",2007-07-05,176,0
"Serengeti","Magange","Masinki",2007-07-05,66,0
"Serengeti","Uwanja wa Ndege","Ngarawani",2007-07-05,225,0
"Serengeti","Nyambureti","Gusuhi",2007-07-06,8,0
"Serengeti","Nyambureti","Monuna",2007-07-06,126,3
"Serengeti","Nyambureti","Nyambureti",2007-07-06,0,0
"Serengeti","Sedeco","Nyamburi",2007-07-06,179,7
"Serengeti","Kisangura","Kibeyo",2007-07-07,166,13
"Serengeti","Mbalibali","Koreri",2007-07-07,180,13
"Serengeti","Sedeco","Bisarara",2007-07-09,156,14
"Serengeti","Nyamatare","Kemgesi",2007-07-09,34,0
"Serengeti","Kisangura","Kisangura",2007-07-09,112,7
"Serengeti","Nyambureti","Maburi",2007-07-09,54,1
"Serengeti","Nyamatare","Nyamatare",2007-07-09,79,1
"Serengeti","Sedeco","Bonchugu",2007-07-10,258,12
"Serengeti","Kisangura","Kebosongo",2007-07-10,110,3
"Serengeti","Ring'wani","Kenyana",2007-07-10,88,3
"Serengeti","Ring'wani","Nyamitita",2007-07-10,158,0
"Serengeti","Nyamoko","Masangura",2007-07-11,196,0
"Serengeti","Manchira","Misseke",2007-07-11,110,5
"Serengeti","Kebanchebanche","Musati",2007-07-11,289,1
"Serengeti","Manchira","Rwamchanga",2007-07-11,130,1
"Serengeti","Manchira","Bwitengi",2007-07-12,134,2
"Serengeti","Morotonga","Morotonga",2007-07-12,263,7
"Serengeti","Kebanchebanche","Kebanchebanche",2007-07-13,60,0
"Serengeti","Ikoma","Park Nyigoti",2007-07-13,75,2
"Serengeti","Ikoma","Robanda",2007-07-13,87,2
"Serengeti","Rung'abure","Gesarya",2007-07-16,249,7
"Serengeti","Geitasamo","Kegonga",2007-07-16,54,4
"Serengeti","Geitasamo","Matare",2007-07-16,243,31
"Serengeti","Rung'abure","Rung'abure",2007-07-16,304,3
"Serengeti","Nyamoko","Itununu",2007-07-17,188,2
"Serengeti","Rung'abure","Nyamerama",2007-07-17,0,0
"Serengeti","Kyambahi","Nyichoka",2007-07-17,178,8
"Serengeti","Uwanja wa Ndege","Burunga",2007-07-18,263,21
"Serengeti","Kyambahi","Kyambahi",2007-07-18,88,1
"Serengeti","Nyamoko","Nyamoko",2007-07-18,165,10
"Serengeti","Mugumu","Mugumu",2007-07-19,900,65
"Serengeti","Nyansurura","Nyansurura",2007-07-19,279,10
"Serengeti","Nyansurura","Marasomoche",2007-07-20,177,7
"Serengeti","Issenye","Iharara",2008-06-16,199,3
"Serengeti","Uwanja wa Ndege","Ngarawani",2008-06-16,363,0
"Serengeti","Issenye","Nyamasingisi",2008-06-16,236,3
"Serengeti","Rigicha","Nyankomogo",2008-06-16,127,2
"Serengeti","Rigicha","Rigicha",2008-06-16,150,0
"Serengeti","Issenye","Nyiberekera",2008-06-17,250,22
"Serengeti","Issenye","Singisi",2008-06-17,209,10
"Serengeti","Rigicha","Wagete",2008-06-17,113,0
"Serengeti","Kisaka","Borenga",2008-06-18,218,0
"Serengeti","Rigicha","Kitembere",2008-06-18,190,3
"Serengeti","Natta","Kono",2008-06-18,67,1
"Serengeti","Kisaka","Nyiboko",2008-06-18,105,0
"Serengeti","Rung'abure","Rung'abure",2008-06-18,391,15
"Serengeti","Sedeco","Bisarara",2008-06-19,180,4
"Serengeti","Kisaka","Buchanchari",2008-06-19,351,1
"Serengeti","Natta","Mbisso",2008-06-19,261,16
"Serengeti","Natta","Motukeri",2008-06-19,268,9
"Serengeti","Sedeco","Nyamburi",2008-06-19,281,12
"Serengeti","Kisaka","Nyansurumunti",2008-06-19,81,2
"Serengeti","Busawe","Busawe",2008-06-20,83,0
"Serengeti","Busawe","Gantamome",2008-06-20,83,0
"Serengeti","Natta","Makundusi",2008-06-20,148,1
"Serengeti","Mosongo","Mosongo",2008-06-20,215,0
"Serengeti","Majimoto","Iseresere",2008-06-23,88,0
"Serengeti","Nyamatare","Kemgesi",2008-06-23,130,1
"Serengeti","Nyansurura","Merenga",2008-06-23,217,1
"Serengeti","Majimoto","Nyamakobiti",2008-06-23,40,0
"Serengeti","Machochwe","Machochwe",2008-06-24,228,2
"Serengeti","Kenyamonta","Magatini",2008-06-24,147,1
"Serengeti","Majimoto","Majimoto",2008-06-24,150,0
"Serengeti","Machochwe","Nyamakendo",2008-06-24,243,1
"Serengeti","Nyamatare","Nyamatare",2008-06-24,473,0
"Serengeti","Nyambureti","Gusuhi",2008-06-25,186,1
"Serengeti","Mbalibali","Kitunguruma",2008-06-25,96,3
"Serengeti","Mbalibali","Mbalibali",2008-06-25,214,2
"Serengeti","Kenyamonta","Mesaga",2008-06-25,125,0
"Serengeti","Kenyamonta","Nyagasense",2008-06-25,244,4
"Serengeti","Nyambureti","Nyambureti",2008-06-25,175,7
"Serengeti","Kenyamonta","Kenyamonta",2008-06-26,147,0
"Serengeti","Kisangura","Kibeyo",2008-06-26,172,5
"Serengeti","Mbalibali","Koreri",2008-06-26,209,6
"Serengeti","Magange","Remung'orori",2008-06-26,126,0
"Serengeti","Ring'wani","Ring'wani",2008-06-26,174,1
"Serengeti","Kisangura","Kisangura",2008-06-27,162,1
"Serengeti","Magange","Magange",2008-06-27,149,0
"Serengeti","Mosongo","Nyamatoke",2008-06-27,239,1
"Serengeti","Magange","Masinki",2008-06-28,447,0
"Serengeti","Nyambureti","Maburi",2008-06-29,327,8
"Serengeti","Sedeco","Bonchugu",2008-06-30,307,4
"Serengeti","Kisangura","Kebosongo",2008-06-30,111,3
"Serengeti","Manchira","Misseke",2008-07-01,158,0
"Serengeti","Nyambureti","Monuna",2008-07-01,149,1
"Serengeti","Manchira","Rwamchanga",2008-07-01,193,0
"Serengeti","Manchira","Bwitengi",2008-07-02,156,4
"Serengeti","Morotonga","Morotonga",2008-07-02,361,10
"Serengeti","Ring'wani","Kenyana",2008-07-03,53,1
"Serengeti","Ring'wani","Nyamitita",2008-07-03,14,0
"Serengeti","Ikoma","Park Nyigoti",2008-07-03,102,0
"Serengeti","Ikoma","Robanda",2008-07-03,96,0
"Serengeti","Kebanchebanche","Kebanchebanche",2008-07-04,59,0
"Serengeti","Kebanchebanche","Musati",2008-07-04,207,2
"Serengeti","Kyambahi","Nyichoka",2008-07-04,215,3
"Serengeti","Nyamoko","Masangura",2008-07-07,63,0
"Serengeti","Uwanja wa Ndege","Burunga",2008-07-08,230,7
"Serengeti","Rung'abure","Gesarya",2008-07-08,111,0
"Serengeti","Kyambahi","Kyambahi",2008-07-08,124,3
"Serengeti","Rung'abure","Nyamerama",2008-07-08,101,0
"Serengeti","Geitasamo","Kegonga",2008-07-09,98,3
"Serengeti","Geitasamo","Matare",2008-07-09,232,5
"Serengeti","Nyamoko","Nyamoko",2008-07-09,156,1
"Serengeti","Nyansurura","Marasomoche",2008-07-10,173,3
"Serengeti","Nyansurura","Nyansurura",2008-07-10,161,1
"Serengeti","Mugumu","Mugumu",2008-07-16,909,41
"Serengeti","Uwanja wa Ndege","Ngarawani",2009-06-17,489,7
"Serengeti","Machochwe","Nyamakendo",2009-07-02,183,2
"Serengeti","Rigicha","Kitembere",2009-07-13,211,7
"Serengeti","Natta","Kono",2009-07-13,83,4
"Serengeti","Rigicha","Nyankomogo",2009-07-13,135,2
"Serengeti","Issenye","Iharara",2009-07-14,223,7
"Serengeti","Issenye","Nyamasingisi",2009-07-14,221,11
"Serengeti","Rigicha","Wagete",2009-07-14,104,1
"Serengeti","Kisaka","Borenga",2009-07-15,235,1
"Serengeti","Kisaka","Nyiboko",2009-07-15,122,0
"Serengeti","Rigicha","Rigicha",2009-07-15,141,2
"Serengeti","Issenye","Singisi",2009-07-15,269,9
"Serengeti","Kisaka","Buchanchari",2009-07-16,243,0
"Serengeti","Natta","Mbisso",2009-07-16,226,9
"Serengeti","Kisaka","Nyansurumunti",2009-07-16,127,1
"Serengeti","Issenye","Nyiberekera",2009-07-16,292,25
"Serengeti","Busawe","Busawe",2009-07-17,101,2
"Serengeti","Busawe","Gantamome",2009-07-17,156,0
"Serengeti","Natta","Makundusi",2009-07-17,272,6
"Serengeti","Mosongo","Mosongo",2009-07-17,501,0
"Serengeti","Natta","Motukeri",2009-07-17,247,1
"Serengeti","Majimoto","Iseresere",2009-07-20,40,0
"Serengeti","Nyansurura","Merenga",2009-07-20,290,1
"Serengeti","Majimoto","Nyamakobiti",2009-07-20,38,0
"Serengeti","Machochwe","Machochwe",2009-07-21,193,2
"Serengeti","Kenyamonta","Magatini",2009-07-21,232,0
"Serengeti","Majimoto","Majimoto",2009-07-21,178,0
"Serengeti","Mbalibali","Kitunguruma",2009-07-22,114,0
"Serengeti","Mbalibali","Mbalibali",2009-07-22,202,9
"Serengeti","Kenyamonta","Mesaga",2009-07-22,143,0
"Serengeti","Kenyamonta","Nyagasense",2009-07-22,265,3
"Serengeti","Kenyamonta","Kenyamonta",2009-07-24,76,0
"Serengeti","Magange","Masinki",2009-07-24,148,0
"Serengeti","Sedeco","Nyamburi",2009-07-24,274,12
"Serengeti","Magange","Remung'orori",2009-07-25,152,0
"Serengeti","Sedeco","Bonchugu",2009-07-27,370,6
"Serengeti","Kisangura","Kebosongo",2009-07-27,246,9
"Serengeti","Nyamatare","Kemgesi",2009-07-27,129,3
"Serengeti","Magange","Magange",2009-07-27,137,0
"Serengeti","Manchira","Misseke",2009-07-28,114,1
"Serengeti","Ring'wani","Ring'wani",2009-07-28,149,0
"Serengeti","Manchira","Rwamchanga",2009-07-28,259,1
"Serengeti","Manchira","Bwitengi",2009-07-29,116,6
"Serengeti","Morotonga","Morotonga",2009-07-29,324,6
"Serengeti","Ring'wani","Kenyana",2009-07-30,76,0
"Serengeti","Nyambureti","Maburi",2009-07-30,202,3
"Serengeti","Mosongo","Nyamatoke",2009-07-30,138,0
"Serengeti","Ikoma","Park Nyigoti",2009-07-30,92,0
"Serengeti","Ikoma","Robanda",2009-07-30,104,2
"Serengeti","Kebanchebanche","Kebanchebanche",2009-07-31,21,1
"Serengeti","Geitasamo","Kegonga",2009-07-31,68,4
"Serengeti","Geitasamo","Matare",2009-07-31,203,11
"Serengeti","Kyambahi","Nyichoka",2009-07-31,261,11
"Serengeti","Sedeco","Bisarara",2009-08-03,171,4
"Serengeti","Mbalibali","Koreri",2009-08-03,187,6
"Serengeti","Kebanchebanche","Musati",2009-08-03,229,0
"Serengeti","Nyamatare","Nyamatare",2009-08-03,12,0
"Serengeti","Rung'abure","Gesarya",2009-08-04,157,0
"Serengeti","Nyamoko","Masangura",2009-08-04,124,0
"Serengeti","Uwanja wa Ndege","Burunga",2009-08-05,297,3
"Serengeti","Nyamoko","Itununu",2009-08-05,228,6
"Serengeti","Kyambahi","Kyambahi",2009-08-05,129,0
"Serengeti","Rung'abure","Rung'abure",2009-08-05,237,4
