"cases","vax","vax_campaign","vax_last_year","vax_last_year_campaign","vax_last2yearMean","vax_last3yearMean","vax_last2yearMean_campaign","vax_last3yearMean_campaign","cases_last_year","year","dogs","dog_density","humans","human_density","incidence","incidence_last_year","log_incidence_last_year","log_human_density","log_human_density_sq","log_dog_density"
25,0.167144422310747,0,NA,NA,NA,NA,NA,NA,NA,2002,43574,18.2623637887678,177588,74.4291701592624,0.000573736631936476,NA,NA,4.30984793703199,18.5747892403389,2.90484231852842
260,0.121469532018875,0.0930124020328128,0.167144422310747,0,NA,NA,NA,NA,25,2003,45007,18.8629505448449,183324,76.8331936295054,0.00577687915213189,0.000573736631936476,-7.24571951628159,4.34163675549586,18.8498097166726,2.93719970955264
369,0.2197016982352,0.28269300105405,0.121469532018875,0.0930124020328128,0.144306977164811,NA,0.0465062010164064,NA,260,2004,46490,19.4844928751048,189258,79.3202011735122,0.00793719079371908,0.00577687915213189,-5.13003332385911,4.37349283987521,19.1274396204397,2.96961891202677
194,0.22796663337917,0.159072439845094,0.2197016982352,0.28269300105405,0.170585615127038,0.169438550854941,0.187852701543431,0.125235134362288,369,2005,48025,20.1278290025147,195400,81.894383906119,0.00403956272774597,0.00793719079371908,-4.81877500650045,4.40543041593296,19.4078171496272,3.0021033849789
137,0.208708449793261,0.149068679930442,0.22796663337917,0.159072439845094,0.223834165807185,0.189712621211082,0.220882720449572,0.178259280977319,194,2006,49615,20.7942162615256,201756,84.558256496228,0.00276126171520709,0.00403956272774597,-5.47767207520281,4.43744072280907,19.6908801684443,3.03467488369048
255,0.23446948609919,0.22544200826509,0.208708449793261,0.149068679930442,0.218337541586216,0.218792260469211,0.154070559887768,0.196944706943195,137,2007,51261,21.4840737636211,208335,87.315590947192,0.00497454204951132,0.00276126171520709,-5.84278737595128,4.46952903736057,19.9766898158093,3.06731190545852
116,0.274596608962309,0.264790006103896,0.23446948609919,0.22544200826509,0.221588967946226,0.223714856423874,0.187255344097766,0.177861042680209,255,2008,52965,22.1982397317687,215145,90.1697401508801,0.00219012555461154,0.00497454204951132,-5.27576827664354,4.50169389573856,20.2652479309298,3.10001299437274
83,0.282254601567944,0.257062820915634,0.274596608962309,0.264790006103896,0.25453304753075,0.239258181618254,0.245116007184493,0.213100231433143,116,2009,54729,22.9375523889355,222195,93.1244761106454,0.00151656343072229,0.00219012555461154,-6.062054528946,4.5339370510264,20.55658518267,3.13277540979847
288,0.267512822464118,0.204682557936355,0.282254601567944,0.257062820915634,0.278425605265127,0.263773565543148,0.260926413509765,0.249098278428207,83,2010,56557,23.7036881810562,229494,96.1835708298407,0.00509220786109589,0.00151656343072229,-6.40332148374021,4.56625856169227,20.850717252228,3.16563065548748
547,0.245786503078639,0.141288722241673,0.267512822464118,0.204682557936355,0.274883712016031,0.274788010998124,0.230872689425994,0.242178461651962,288,2011,58450,24.4970662196144,237051,99.3507963118189,0.00935842600513259,0.00509220786109589,-5.25302053060733,4.5986569841828,21.1476460581733,3.19855336424235
344,0.229969073301798,0.207454498190947,0.245786503078639,0.141288722241673,0.256649662771378,0.265184642370234,0.172985640089014,0.201011367031221,547,2012,60410,25.3185247275775,244876,102.630343671417,0.00569442145340175,0.00935842600513259,-4.65668348696058,4.63113363629682,21.4473987572398,3.23153633047493
170,0.285989193032872,0.262393780470501,0.229969073301798,0.207454498190947,0.237877788190219,0.247756132948185,0.17437161021631,0.184475259456325,344,2013,62441,26.1697401508801,252980,106.026823134954,0.00272257010618023,0.00569442145340175,-5.14406858599981,4.66369211054367,21.7500241019473,3.26460378721802
176,0.277758344698318,0.298789178372996,0.285989193032872,0.262393780470501,0.257979133167335,0.25391492313777,0.234924139330724,0.203712333634374,170,2014,64544,27.0511316010059,261373,109.544425817267,0.00272682201289043,0.00272257010618023,-5.85621563632687,4.69633018220257,22.0555171802669,3.29772883809608
168,0.294472160338706,0.315053763787115,0.277758344698318,0.298789178372996,0.281873768865595,0.264572203677663,0.280591479421749,0.256212485678148,176,2015,66723,27.9643755238894,270066,113.187761944677,0.00251787239782384,0.00272682201289043,-5.85473112517119,4.72904804989542,22.3638954582197,3.33093139739269
74,0.370504666792819,0.329451752981047,0.294472160338706,0.315053763787115,0.286115252518512,0.286073232689965,0.306921471080056,0.292078907543537,168,2016,68981,28.9107292539816,279071,116.961860854987,0.00107275916556733,0.00251787239782384,-5.93042342473407,4.76184790605776,22.6751954804267,3.36421278068353
43,0.344725844649304,0.367986748960541,0.370504666792819,0.329451752981047,0.332488413565762,0.314245057276614,0.322252758384081,0.314431565047053,74,2017,71321,29.8914501257334,288400,120.871751886002,0.000602907979417002,0.00107275916556733,-6.71528264599501,4.79473008173507,22.9894365566952,3.39757249053331
28,0.337333831077659,0.148962220719118,0.344725844649304,0.367986748960541,0.357615255721061,0.336567557260276,0.348719250970794,0.337497421909568,43,2018,73745,30.9073763621123,298065,124.922464375524,0.0003796867584243,0.000602907979417002,-7.20563296164475,4.82769325985016,23.3066222112027,3.43099487263574
24,0.29370775832321,0.251923612464573,0.337333831077659,0.148962220719118,0.341029837863482,0.350854780839927,0.25847448483983,0.282133574220235,28,2019,76258,31.9606035205365,308080,129.119865884325,0.000314721078444229,0.0003796867584243,-7.56327740217121,4.86074116583093,23.6268046812034,3.46450400434107
22,0.255619354524493,0.186233009638415,0.29370775832321,0.251923612464573,0.315520794700435,0.325255811350058,0.200442916591845,0.256290860714744,24,2020,78862,33.0519698239732,318458,133.469404861693,0.0002789683244148,0.000314721078444229,-7.69696139015676,4.89387227450926,23.9499858392104,3.49808116585211
23,0.236162317774261,0.0768751907059598,0.255619354524493,0.186233009638415,0.274663556423852,0.295553647975121,0.219078311051494,0.195706280940702,22,2021,81562,34.1835708298407,329213,137.976948868399,0.000281994065864005,0.0002789683244148,-7.77894720704349,4.92708663401943,24.2761826991329,3.5317451435543
16,0.236884020608238,0.201987833350499,0.236162317774261,0.0768751907059598,0.245890836149377,0.261829810207322,0.131554100172187,0.171677270936316,23,2022,84360,35.3562447611065,340360,142.648784576697,0.000189663347558084,0.000281994065864005,-7.77174243530507,4.96038555730563,24.6054248771263,3.56547503193485
